Zone_Name,Ward_Name,Waste generated ,Rank
EAST,VANNIGARAPET,2189.78358,1
EAST,SHANTHALANAGAR,3604.18272,2
SOUTH,SHAKAMBARI_NAGAR,3756.1299,3
EAST,Gangenahalli,3782.72724,4
EAST,Jayamahal,3848.03556,5
SOUTH,GANESH_MANDIRA,3856.1991,6
SOUTH,KANISANDRA,3865.416,7
EAST,PULAKESHINAGAR,3895.43676,8
WEST,CHELVADI_PALYA,3928.88094,9
EAST,GANGANAGAR,4017.09984,10
WEST,MARENAHALI,4089.255,11
SOUTH,DHARMARAYA_SWAMY_TEMPLE,4102.422,12
SOUTH,BYRASANDRA,4200.91116,13
SOUTH,SARAKKI,4260.426,14
WEST,GOVINDRAJA_NAGAR,4277.27976,15
WEST,K_R_MARKET,4297.2936,16
WEST,KAMAKSHIPALYA,4297.55694,17
SOUTH,ADUGODI,4309.1439,18
EAST,SAGAYA_PURAM,4341.53472,19
WEST,AGRAHARA_DASARAHALLI,4356.01842,20
EAST,SAMPANGIRAMNAGAR,4361.54856,21
WEST,DR_RAJKUMAR_WARD,4365.762,22
EAST,JOGUPALAYA,4396.57278,23
SOUTH,SUDHAM_NAGAR,4405.263,24
EAST,SANJAYNAGAR,4410.79314,25
EAST,HEBBAL,4412.63652,26
SOUTH,JAYANAGAR_EAST,4416.05994,27
SOUTH,SIDAPURA,4418.43,28
EAST,JC_Nagar,4436.07378,29
WEST,MARUTHI_MANDIR,4438.97052,30
EAST,MUNESHWARANAGAR,4494.27192,31
EAST,KACHRAKANAHALLI,4507.49744,32
SOUTH,LAKKASANDRA,4510.599,33
WEST,MALLESHWARAM,4529.82282,34
WEST,CHAMRAJAPET,4530.08616,35
SOUTH,JAKKASANDRA,4553.26008,36
SOUTH,VISHVESHWARA_PURAM,4563.267,37
SOUTH,HAMPINAGAR,4607.77146,38
EAST,RK_TEMPLE,4612.77492,39
SOUTH,SRI_NAGAR,4615.935,40
EAST,KAVALBYRASANDRA,4615.935,41
WEST,CHICKPETE,4623.8352,42
EAST,AGARAM,4625.67858,43
EAST,DOMLUR,4646.74578,44
EAST,SK_GARDEN,4655.17266,45
SOUTH,GALI_ANJANEYA_,4675.1865,46
WEST,ARAMANENAGAR,4733.38464,47
SOUTH,BANASHANKARI_TEMPLE,4760.50866,48
SOUTH,HANUMANTHANAGAR,4760.772,49
EAST,KUSHALNAGAR,4794.47952,50
MAHADEVPURA,DEVASANDRA,4806.59316,51
WEST,RAYAPURAM,4840.56402,52
EAST,Lingarajapuram,4844.33856,53
WEST,SHIVA_NAGAR,4863.21126,54
WEST,MATTIKERE,4864.52796,55
WEST,GAYITHRINAGAR,4866.108,56
MAHADEVPURA,HAL_airport,4866.108,57
SOUTH,YEDIYUR,4866.108,58
YALAHANKA,CHOWDESHWARI,4884.01512,59
WEST,RAJAMAHAL_GUTTAHALLI,4888.22856,60
EAST,VASANTHNAGAR,4905.08232,61
EAST,SARVAGNANAGAR,4908.50574,62
MAHADEVPURA,K_R_PURAM,4910.61246,63
BOMMANHALLI,JAGRAGANAHALLI,4917.72264,64
SOUTH,KORAMANGALA,4948.53342,65
EAST,DEVARA_JEEVANA_HALLI,4949.32344,66
EAST,Bharathi_Nagar,4956.43362,67
SOUTH,JAYANAGAR,4959.06702,68
WEST,PADARAYANAPURA,4966.96722,69
EAST,M_RAMASWAMY_PALYA,4973.81406,70
SOUTH,SUNKENAHALLI,4984.611,71
YALAHANKA,DODDABOMMSANDRA,4995.67128,72
SOUTH,BASAVANGUDI,4997.778,73
SOUTH,PADMANABHANAGAR,5002.25478,74
EAST,Shanthi_Nagar,5005.6782,75
YALAHANKA,KUVEMPUNAGARA,5010.68166,76
SOUTH,EJIPURA,5016.47514,77
WEST,NAGAPURA,5020.68858,78
WEST,MARAPANNAPALYA,5020.68858,79
EAST,Maruthi_Seva_Nagar,5030.02252,80
RR_NAGAR,HMT,5035.43562,81
EAST,HALASUR,5035.43562,82
SOUTH,HOMBEGOWDANAGAR,5037.279,83
WEST,JAGAJIVANARAM_NAGAR,5051.49936,84
WEST,AZAD_NAGAR,5066.50974,85
MAHADEVPURA,Varthur,5103.114,86
SOUTH,JP_NAGAR,5114.70096,87
BOMMANAHALLI,BILKEHALLI,5118.9144,88
SOUTH,GURAPPANA_PALYA,5124.97122,89
RR_NAGAR,Jalahalli,5129.71134,90
EAST,KONENAGRAHARA,5141.82498,91
EAST,JEEVANBHIMANAGAR,5171.5824,92
BOMMANAHALLI,ANJANAPURA,5173.95246,93
SOUTH,HOSAHALLI,5224.2504,94
SOUTH,ATTIGUPPE,5282.1852,95
SOUTH,PATTABHINAGAAR,5287.71534,96
SOUTH,BAPUJI_NAGAR,5340.12,97
EAST,Shivajinagar,5354.86704,98
MAHADEVPURA,Hoodi,5359.60716,99
WEST,SUBHASH_NAGAR,5384.62446,100
SOUTH,CHIKKALA_SANDRA,5387.78454,101
WEST,DATTATREYA_TEMPLE_,5421.7554,102
EAST,HOYSALANAGAR,5442.8226,103
EAST,KG_HALLI,5445.456,104
SOUTH,KUMARASWAMY_LAYOUT,5464.41648,105
EAST,NEELASANDRA,5478.3735,106
YALAHANKA,KEMPEGOWDA_,5524.458,107
BOMMANHALLI,YELCHENAHALLI,5546.05188,108
EAST,kamanahalli,5547.69044,109
WEST,NAGARBHAVI,5550.792,110
YALAHANKA,YELAHANKA_SATELLITE_TOWN,5563.959,111
SOUTH,SUDDAGUNTE_PALYA,5573.70258,112
WEST,OKALIPURAM,5574.4926,113
EAST,ManorayanaPalya,5595.5598,114
WEST,NAYANDAHALLI,5597.66652,115
SOUTH,DEEPANJALI,5632.4274,116
EAST,BENNIGANAHALLI,5638.48422,117
SOUTH,VIJAYNAGARA,5642.961,118
WEST,MAHALAKSHMIPURAM,5647.96446,119
RR_NAGAR,Yeshwanthapura,5662.97484,120
SOUTH,KEMPAPURA_AGRAHARA,5669.295,121
BOMMANAHALLI,PUTTENAHALLI,5690.3622,122
DASARAHALLI,T.DASARAHALLI,5708.796,123
SOUTH,HOSAKEREHALLI,5758.30392,124
WEST,RAJAJI_NAGAR,5758.56726,125
WEST,BINNIPETE,5783.58456,126
WEST,PRAKASH_NAGAR,5787.798,127
DASARAHALLI,MALLASANDRA,5792.53812,128
SOUTH,GIRINAGAR,5797.27824,129
EAST,NEW_TIPPASANDRA,5799.12162,130
MAHADEVPURA,RAMAMURTHYNAGAR,5814.132,131
SOUTH,MADIVALA,5818.0821,132
WEST,MUDALAPALYA,5843.62608,133
WEST,DAYANANDA_NAGAR,5853.633,134
BOMMANAHALLI,GOTTIGERE,5860.47984,135
WEST,SUBRAMANYA_NAGAR,5866.8,136
EAST,banaswadi,5871.189,137
SOUTH,VIDYAPEETA,5882.33706,138
WEST,SHANKAR_MATT,5928.6849,139
MAHADEVPURA,HORAMAVU,5972.136,140
SOUTH,KATRIGUPPE,6028.7541,141
BOMMANAHALLI,HSR_LAYOUT,6057.19482,142
MAHADEVPURA,Vijinapura,6082.7388,143
MAHADEVPURA,A_NARAYANAPURA,6087.47892,144
RR_NAGAR,J.P.Park,6115.91964,145
BOMMANAHALLI,BOMMANHALLI,6149.8905,146
YALAHANKA,KODIGEHALLI,6181.75464,147
BOMMANAHALLI,ARAKERE,6192.81492,148
WEST,NANDINI_LAYOUT,6205.71858,149
WEST,SHAKTHI_GANAPATHI_NAGAR,6226.78578,150
WEST,VRUSHABHAVATHI_NAGAR,6226.78578,151
EAST,V_NAGENAHALLI,6243.11286,152
RR_NAGAR,Lakshmidevinagara,6261.81,153
WEST,KADUMALLESHWARA,6369.7794,154
WEST,SRIRAMAMANDIR,6372.4128,155
WEST,COTTONPETE,6426.3975,156
YALAHANKA,JAKKUR,6461.15838,157
EAST,HBR_LAYOUT,6465.04996,158
WEST,KAVERIPURA,6521.98992,159
WEST,BASAVESHWARA_NAGAR,6575.71128,160
EAST,NAGAWARA,6581.97292,161
BOMMANAHALLI,KONANKUNTE,6637.85952,162
SOUTH,BTM_LAYOUT,6779.53644,163
BOMMANAHALLI,MANGAMMA_PALYA,6799.28694,164
YALAHANKA,VIDYARANYAPURA,6888.03252,165
EAST,CV_RAMANNAGAR,6941.49054,166
BOMMANAHALLI,UTTARAHALLI,6994.42188,167
RR_NAGAR,Laggere,7062.10026,168
WEST,GANDHINAGAR,7138.7322,169
MAHADEVPURA,Kadugodi,7307.53314,170
DASARAHALLI,SHETTYHALLI,7382.05836,171
DASARAHALLI,PEENYA_INDL_AREA,7409.18238,172
YALAHANKA,ATTURU,7494.76788,173
DASARAHALLI,CHOKKASANDRA,7583.7768,174
DASARAHALLI,HEGGANAHALLI,7692.79956,175
BOMMANAHALLI,HONGASANDRA,7751.52438,176
BOMMANAHALLI,SINGA_SANDRA,7772.85492,177
MAHADEVPURA,BASAVANAPURA,7776.015,178
DASARAHALLI,RAJAGOPALANAGARA,7795.23882,179
YALAHANKA,THANISANDRA,7823.15286,180
RR_NAGAR,Kottigepalya,8010.65094,181
MAHADEVPURA,HAGADUR,8026.188,182
DASARAHALLI,Bagalagunte,8044.09512,183
YALAHANKA,BYATRAYANAPURA,8047.51854,184
BOMMANAHALLI,VASANTHPURA,8086.7562,185
RR_NAGAR,Jnanabharathi,8102.5566,186
MAHADEVPURA,GARUDACHARPALYA,8563.66494,187
RR_NAGAR,HEMMIGEPURA,8671.371,188
MAHADEVPURA,Vignananagara,8849.65218,189
MAHADEVPURA,Marathahalli,8895.21,190
BOMMANAHALLI,BEGUR,8911.0104,191
RR_NAGAR,Doddabidirakallu,9821.90346,192
RR_NAGAR,HEROHALLI,9824.27352,193
RR_NAGAR,KENGERI,10839.44922,194
MAHADEVPURA,Dodda_nekkundi,11133.6,195
RR_NAGAR,ULLALU,11548.88718,196
MAHADEVPURA,Bellanduru,12621.99768,197
RR_NAGAR,R.R.NAGAR,12713.64,198
